over,runs_in_over,wickets_in_over,cumulative_runs,cumulative_wickets,overs_remaining,run_rate,momentum,batsman_sr,bowler_economy,phase_Powerplay,phase_Middle,phase_Death
0,9,0,9,0,19,9.0,0.0,129.653256364848,7.961864406779661,True,False,False
1,5,1,14,1,18,7.0,0.0,134.16277697050475,8.962616822429906,True,False,False
2,6,0,20,1,17,6.666666666666667,0.0,137.11634229381573,7.961864406779661,True,False,False
3,7,0,27,1,16,6.75,-0.5,137.11634229381573,8.933035714285714,True,False,False
4,10,1,37,2,15,7.4,-1.25,143.0002795227946,8.962616822429906,True,False,False
5,8,0,45,2,14,7.5,-0.2333333333333334,142.90951019328284,8.933035714285714,True,False,False
6,16,1,61,3,13,8.714285714285714,0.3333333333333339,145.4358732450333,8.8,False,True,False
7,2,0,63,3,12,7.875,1.6190476190476204,152.6283766646433,6.958333333333333,False,True,False
8,28,0,91,3,11,10.11111111111111,0.2916666666666661,152.6283766646433,12.555555555555555,False,True,False
9,5,0,96,3,10,9.6,4.722222222222223,152.6283766646433,6.958333333333333,False,True,False
10,9,1,105,4,9,9.545454545454545,2.0666666666666664,152.6283766646433,8.933035714285714,False,True,False
11,7,0,112,4,8,9.333333333333334,3.954545454545455,137.53922508628594,7.961864406779661,False,True,False
12,5,1,117,5,7,9.0,-2.833333333333334,118.35948339085729,6.958333333333333,False,True,False
13,9,1,126,6,6,9.0,-3.0,98.76887183973798,8.962616822429906,False,True,False
14,0,2,126,8,5,8.4,-3.0,102.18350598607945,6.958333333333333,False,True,False
15,5,0,131,8,4,8.1875,-5.733333333333333,30.76923076923077,7.961864406779661,False,False,True
16,1,2,132,10,3,7.764705882352941,-5.020833333333333,43.52869352869353,8.933035714285714,False,False,True
