over,runs_in_over,wickets_in_over,cumulative_runs,cumulative_wickets,overs_remaining,run_rate,momentum,batsman_sr,bowler_economy,phase_Powerplay,phase_Middle,phase_Death
0,3,0,3,0,19,3.0,0.0,162.7523492767395,7.687975646879757,True,False,False
1,20,1,23,1,18,11.5,0.0,162.7523492767395,9.76,True,False,False
2,4,0,27,1,17,9.0,0.0,151.1051948051948,7.687975646879757,True,False,False
3,5,2,32,3,16,8.0,-0.5,139.0136971115582,8.933035714285714,True,False,False
4,7,0,39,3,15,7.8,0.16666666666666607,150.21462408559182,8.941176470588236,True,False,False
5,4,0,43,3,14,7.166666666666667,-3.466666666666667,150.21462408559182,8.933035714285714,True,False,False
6,6,0,49,3,13,7.0,-2.833333333333334,150.21462408559182,9.76,False,True,False
7,4,1,53,4,12,6.625,-1.333333333333333,153.60220222058322,9.008333333333333,False,True,False
8,13,0,66,4,11,7.333333333333333,-2.458333333333333,164.9938740504778,8.941176470588236,False,True,False
9,11,0,77,4,10,7.7,-0.16666666666666607,164.9938740504778,9.008333333333333,False,True,False
10,14,0,91,4,9,8.272727272727273,1.1333333333333337,164.9938740504778,9.76,False,True,False
11,14,0,105,4,8,8.75,4.393939393939393,164.9938740504778,9.444444444444445,False,True,False
12,8,1,113,5,7,8.692307692307692,4.25,155.51069686953363,8.941176470588236,False,True,False
13,6,1,119,6,6,8.5,2.8076923076923084,156.79305152009303,9.008333333333333,False,True,False
14,4,0,123,6,5,8.2,-0.16666666666666607,150.38438247494474,8.941176470588236,False,True,False
15,18,0,141,6,4,8.8125,-3.1999999999999993,150.38438247494474,9.008333333333333,False,False,True
16,18,0,159,6,3,9.352941176470589,0.020833333333333925,150.38438247494474,7.687975646879757,False,False,True
17,15,0,174,6,2,9.666666666666666,3.980392156862745,150.38438247494474,8.933035714285714,False,False,True
18,26,0,200,6,1,10.526315789473685,7.333333333333334,150.38438247494474,7.687975646879757,False,False,True
19,8,1,208,7,0,10.4,9.140350877192983,132.36634672641574,8.933035714285714,False,False,True
