over,runs_in_over,wickets_in_over,cumulative_runs,cumulative_wickets,overs_remaining,run_rate,momentum,batsman_sr,bowler_economy,phase_Powerplay,phase_Middle,phase_Death
0,4,0,4,0,19,4.0,0.0,111.65122620940292,7.708894878706199,True,False,False
1,1,0,5,0,18,2.5,0.0,111.65122620940292,7.846153846153846,True,False,False
2,7,0,12,0,17,4.0,0.0,111.65122620940292,9.457627118644067,True,False,False
3,10,0,22,0,16,5.5,0.0,111.65122620940292,7.708894878706199,True,False,False
4,8,1,30,1,15,6.0,0.5,118.45349997073652,7.846153846153846,True,False,False
5,4,1,34,2,14,5.666666666666667,1.833333333333334,117.1138521894829,9.457627118644067,True,False,False
6,4,0,38,2,13,5.428571428571429,0.6666666666666661,122.70264209915231,7.1947368421052635,False,True,False
7,10,0,48,2,12,6.0,-1.0952380952380958,122.70264209915231,8.764940239043824,False,True,False
8,10,1,58,3,11,6.444444444444445,-0.5,122.70264209915231,7.1947368421052635,False,True,False
9,6,0,64,3,10,6.4,1.0555555555555554,129.10516329342963,8.764940239043824,False,True,False
10,10,1,74,4,9,6.7272727272727275,1.7666666666666657,126.0937216131719,7.1947368421052635,False,True,False
11,4,1,78,5,8,6.5,0.9393939393939386,124.9116613090846,8.764940239043824,False,True,False
12,5,0,83,5,7,6.384615384615385,-0.833333333333333,124.29135241689909,7.1947368421052635,False,True,False
13,7,0,90,5,6,6.428571428571429,-1.051282051282052,124.29135241689909,7.708894878706199,False,True,False
14,8,1,98,6,5,6.533333333333333,-1.5952380952380958,117.01223085461986,7.846153846153846,False,True,False
15,9,1,107,7,4,6.6875,-0.36666666666666625,112.74409676578743,7.708894878706199,False,False,True
16,8,0,115,7,3,6.764705882352941,0.3125,117.88915128365046,7.846153846153846,False,False,True
17,4,0,119,7,2,6.611111111111111,0.5686274509803928,117.88915128365046,9.457627118644067,False,False,True
18,8,2,127,9,1,6.684210526315789,-0.11111111111111072,98.03721196687809,8.764940239043824,False,False,True
19,7,0,134,9,0,6.7,-1.0175438596491224,89.34750370736529,9.457627118644067,False,False,True
