over,runs_in_over,wickets_in_over,cumulative_runs,cumulative_wickets,overs_remaining,run_rate,momentum,batsman_sr,bowler_economy,phase_Powerplay,phase_Middle,phase_Death
0,9,0,9,0,19,9.0,0.0,116.39243195971991,7.857971014492754,True,False,False
1,6,1,15,1,18,7.5,0.0,117.4833390514667,6.95945945945946,True,False,False
2,9,2,24,3,17,8.0,0.0,119.3706216368252,7.852941176470588,True,False,False
3,7,1,31,4,16,7.75,-1.5,128.85571286426676,8.692759295499021,True,False,False
4,3,0,34,4,15,6.8,-2.416666666666667,116.761415568791,7.852941176470588,True,False,False
5,12,0,46,4,14,7.666666666666667,-1.9666666666666668,116.761415568791,8.29746835443038,True,False,False
6,10,2,56,6,13,8.0,-0.8333333333333339,116.14558931011308,7.852941176470588,False,True,False
7,6,0,62,6,12,7.75,-0.6666666666666661,115.52976305143517,7.594936708860759,False,True,False
8,13,0,75,6,11,8.333333333333334,0.5833333333333339,115.52976305143517,6.95945945945946,False,True,False
9,10,0,85,6,10,8.5,0.33333333333333215,115.52976305143517,7.594936708860759,False,True,False
10,3,1,88,7,9,8.0,1.166666666666666,117.54271785128357,8.692759295499021,False,True,False
11,9,2,97,9,8,8.083333333333334,0.16666666666666607,113.9417477763626,6.95945945945946,False,True,False
