over,runs_in_over,wickets_in_over,cumulative_runs,cumulative_wickets,overs_remaining,run_rate,momentum,batsman_sr,bowler_economy,phase_Powerplay,phase_Middle,phase_Death
0,11,0,11,0,19,11.0,0.0,129.44214944807564,8.96657381615599,True,False,False
1,3,0,14,0,18,7.0,0.0,129.44214944807564,7.5852272727272725,True,False,False
2,9,0,23,0,17,7.666666666666667,0.0,129.44214944807564,8.96657381615599,True,False,False
3,2,0,25,0,16,6.25,0.0,129.44214944807564,7.5852272727272725,True,False,False
4,8,2,33,2,15,6.6,-1.583333333333333,126.6554462764382,8.895652173913044,True,False,False
5,14,0,47,2,14,7.833333333333333,-1.2666666666666666,130.1073806388361,7.5852272727272725,True,False,False
6,2,0,49,2,13,7.0,-0.833333333333333,130.1073806388361,8.895652173913044,False,True,False
7,10,0,59,2,12,7.375,0.0,130.1073806388361,7.823529411764706,False,True,False
8,10,0,69,2,11,7.666666666666667,1.291666666666666,130.1073806388361,9.20253164556962,False,True,False
9,5,0,74,2,10,7.4,-0.3333333333333339,130.1073806388361,7.823529411764706,False,True,False
10,2,0,76,2,9,6.909090909090909,0.9333333333333336,130.1073806388361,9.20253164556962,False,True,False
11,7,0,83,2,8,6.916666666666667,-1.2424242424242422,130.1073806388361,8.22972972972973,False,True,False
12,11,1,94,3,7,7.230769230769231,-2.25,128.35290211544546,8.895652173913044,False,True,False
13,2,1,96,4,6,6.857142857142857,-1.0641025641025639,124.8143603911513,7.823529411764706,False,True,False
14,5,0,101,4,5,6.733333333333333,-1.1904761904761898,119.52474079799568,8.22972972972973,False,True,False
15,7,0,108,4,4,6.75,-1.7333333333333334,119.52474079799568,7.823529411764706,False,False,True
16,9,0,117,4,3,6.882352941176471,-2.583333333333333,119.52474079799568,8.22972972972973,False,False,True
17,10,2,127,6,2,7.055555555555555,0.117647058823529,129.9519777362982,8.96657381615599,False,False,True
18,9,0,136,6,1,7.157894736842105,0.6111111111111107,152.1637891867333,8.895652173913044,False,False,True
19,0,3,136,9,0,6.8,1.1754385964912286,103.09900867741707,8.96657381615599,False,False,True
