over,runs_in_over,wickets_in_over,cumulative_runs,cumulative_wickets,overs_remaining,run_rate,momentum,batsman_sr,bowler_economy,phase_Powerplay,phase_Middle,phase_Death
0,12,0,12,0,19,12.0,0.0,138.5602555943738,8.453237410071942,True,False,False
1,5,0,17,0,18,8.5,0.0,138.5602555943738,9.076923076923077,True,False,False
2,10,0,27,0,17,9.0,0.0,138.5602555943738,8.453237410071942,True,False,False
3,13,0,40,0,16,10.0,0.0,138.5602555943738,9.076923076923077,True,False,False
4,18,0,58,0,15,11.6,-0.6666666666666661,138.5602555943738,7.70566037735849,True,False,False
5,7,1,65,1,14,10.833333333333334,2.0666666666666664,137.5452209012997,9.076923076923077,True,False,False
6,2,0,67,1,13,9.571428571428571,1.3333333333333321,142.1900081900082,6.850439882697947,False,True,False
7,10,1,77,2,12,9.625,-1.0714285714285712,136.9364984714413,9.311418685121108,False,True,False
8,8,0,85,2,11,9.444444444444445,-4.291666666666667,130.9723152747295,6.850439882697947,False,True,False
9,14,0,99,2,10,9.9,-3.2777777777777777,130.9723152747295,8.86046511627907,False,True,False
10,6,0,105,2,9,9.545454545454545,0.2666666666666657,130.9723152747295,6.850439882697947,False,True,False
11,3,1,108,3,8,9.0,-0.21212121212121104,141.31161420707906,7.70566037735849,False,True,False
12,3,1,111,4,7,8.538461538461538,-1.833333333333333,146.472376097604,6.850439882697947,False,True,False
13,4,0,115,4,6,8.214285714285714,-5.538461538461538,151.95098838883024,8.86046511627907,False,True,False
14,13,0,128,4,5,8.533333333333333,-5.88095238095238,151.95098838883024,7.70566037735849,False,True,False
15,5,0,133,4,4,8.3125,-2.3666666666666663,151.95098838883024,8.453237410071942,False,False,True
16,16,1,149,5,3,8.764705882352942,-0.979166666666667,139.55904579241076,9.311418685121108,False,False,True
17,21,0,170,5,2,9.444444444444445,2.068627450980392,138.38268633567495,7.70566037735849,False,False,True
18,26,0,196,5,1,10.31578947368421,4.055555555555555,138.38268633567495,8.453237410071942,False,False,True
19,8,2,204,7,0,10.2,10.18421052631579,128.2942895368594,9.076923076923077,False,False,True
