over,runs_in_over,wickets_in_over,cumulative_runs,cumulative_wickets,overs_remaining,run_rate,momentum,batsman_sr,bowler_economy,phase_Powerplay,phase_Middle,phase_Death
0,2,0,2,0,19,2.0,0.0,133.80906192715963,7.292887029288703,True,False,False
1,8,0,10,0,18,5.0,0.0,133.80906192715963,7.456310679611651,True,False,False
2,7,0,17,0,17,5.666666666666667,0.0,133.80906192715963,7.634361233480176,True,False,False
3,17,0,34,0,16,8.5,0.0,133.80906192715963,7.456310679611651,True,False,False
4,17,0,51,0,15,10.2,2.166666666666666,133.80906192715963,7.634361233480176,True,False,False
5,9,0,60,0,14,10.0,3.466666666666667,133.80906192715963,7.292887029288703,True,False,False
6,10,0,70,0,13,10.0,4.333333333333334,133.80906192715963,7.1947368421052635,False,True,False
7,10,0,80,0,12,10.0,2.0,133.80906192715963,9.166666666666666,False,True,False
8,8,0,88,0,11,9.777777777777779,-0.3333333333333339,133.80906192715963,7.1947368421052635,False,True,False
9,14,0,102,0,10,10.2,-0.44444444444444464,133.80906192715963,9.166666666666666,False,True,False
10,7,0,109,0,9,9.909090909090908,0.4666666666666668,133.80906192715963,7.292887029288703,False,True,False
11,5,0,114,0,8,9.5,-0.2424242424242422,133.80906192715963,7.634361233480176,False,True,False
12,12,0,126,0,7,9.692307692307692,-0.8333333333333339,133.80906192715963,7.1947368421052635,False,True,False
13,7,0,133,0,6,9.5,-1.6923076923076916,133.80906192715963,7.634361233480176,False,True,False
14,11,0,144,0,5,9.6,-1.5,133.80906192715963,8.764940239043824,False,True,False
15,8,1,152,1,4,9.5,0.40000000000000036,134.3493698061177,7.292887029288703,False,False,True
16,13,0,165,1,3,9.705882352941176,-1.333333333333334,142.1285225146956,7.456310679611651,False,False,True
