over,runs_in_over,wickets_in_over,cumulative_runs,cumulative_wickets,overs_remaining,run_rate,momentum,batsman_sr,bowler_economy,phase_Powerplay,phase_Middle,phase_Death
0,12,0,12,0,19,12.0,0.0,118.55685148491355,7.634361233480176,True,False,False
1,10,0,22,0,18,11.0,0.0,118.55685148491355,8.041055718475073,True,False,False
2,10,2,32,2,17,10.666666666666666,0.0,137.73355316385542,7.476683937823834,True,False,False
3,1,0,33,2,16,8.25,-1.0,114.38547420045263,8.041055718475073,True,False,False
4,15,0,48,2,15,9.6,-2.25,114.38547420045263,7.634361233480176,True,False,False
5,10,0,58,2,14,9.666666666666666,-1.9333333333333336,114.38547420045263,8.041055718475073,True,False,False
6,3,0,61,2,13,8.714285714285714,-1.0,114.38547420045263,9.44,False,True,False
7,11,0,72,2,12,9.0,0.6190476190476204,114.38547420045263,7.714285714285714,False,True,False
8,6,1,78,3,11,8.666666666666666,-1.0,118.89638083232954,7.36180904522613,False,True,False
9,7,0,85,3,10,8.5,-2.499999999999999,126.31505095329136,7.714285714285714,False,True,False
10,14,0,99,3,9,9.0,-1.0,126.31505095329136,7.36180904522613,False,True,False
11,9,0,108,3,8,9.0,-0.5,126.31505095329136,10.0,False,True,False
12,10,0,118,3,7,9.076923076923077,1.0,126.31505095329136,7.476683937823834,False,True,False
13,11,0,129,3,6,9.214285714285714,1.9230769230769234,126.31505095329136,9.44,False,True,False
14,19,0,148,3,5,9.866666666666667,0.7857142857142865,126.31505095329136,7.714285714285714,False,True,False
15,12,0,160,3,4,10.0,3.466666666666667,126.31505095329136,7.36180904522613,False,False,True
16,11,0,171,3,3,10.058823529411764,4.0,126.31505095329136,7.634361233480176,False,False,True
17,15,1,186,4,2,10.333333333333334,3.9411764705882355,126.31505095329136,7.36180904522613,False,False,True
18,17,0,203,4,1,10.68421052631579,1.8333333333333321,123.60595390524969,7.634361233480176,False,False,True
19,11,1,214,5,0,10.7,3.1491228070175445,123.60595390524969,8.041055718475073,False,False,True
