over,runs_in_over,wickets_in_over,cumulative_runs,cumulative_wickets,overs_remaining,run_rate,momentum,batsman_sr,bowler_economy,phase_Powerplay,phase_Middle,phase_Death
0,10,1,10,1,19,10.0,0.0,116.72550311711211,7.1947368421052635,True,False,False
1,10,0,20,1,18,10.0,0.0,108.56092348595757,9.457627118644067,True,False,False
2,6,0,26,1,17,8.666666666666666,0.0,108.56092348595757,7.708894878706199,True,False,False
3,9,0,35,1,16,8.75,-0.5,108.56092348595757,9.457627118644067,True,False,False
4,13,1,48,2,15,9.6,-0.4166666666666661,113.94458492747151,7.708894878706199,True,False,False
5,2,2,50,4,14,8.333333333333334,-0.7666666666666657,121.29923584679518,7.292887029288703,True,False,False
6,7,0,57,4,13,8.142857142857142,-1.833333333333334,121.54001697989858,8.417457305502847,False,True,False
7,4,0,61,4,12,7.625,-2.3095238095238093,121.54001697989858,7.292887029288703,False,True,False
8,8,0,69,4,11,7.666666666666667,-4.291666666666667,121.54001697989858,7.1947368421052635,False,True,False
9,9,0,78,4,10,7.8,-1.333333333333334,121.54001697989858,8.417457305502847,False,True,False
10,7,1,85,5,9,7.7272727272727275,-0.7999999999999998,118.98428877657977,7.1947368421052635,False,True,False
11,6,0,91,5,8,7.583333333333333,-0.22727272727272751,120.89551323301276,8.764940239043824,False,True,False
12,9,0,100,5,7,7.6923076923076925,-0.75,120.89551323301276,9.457627118644067,False,True,False
13,14,1,114,6,6,8.142857142857142,-0.8589743589743595,104.83943306443275,8.764940239043824,False,True,False
14,8,1,122,7,5,8.133333333333333,1.0238095238095237,103.91885931148907,7.1947368421052635,False,True,False
15,7,0,129,7,4,8.0625,1.200000000000001,119.51465260359723,7.292887029288703,False,False,True
16,2,2,131,9,3,7.705882352941177,0.6041666666666661,101.89865729128705,7.708894878706199,False,False,True
17,0,1,131,10,2,7.277777777777778,-3.5392156862745097,51.11111111111111,7.292887029288703,False,False,True
