over,runs_in_over,wickets_in_over,cumulative_runs,cumulative_wickets,overs_remaining,run_rate,momentum,batsman_sr,bowler_economy,phase_Powerplay,phase_Middle,phase_Death
0,9,0,9,0,19,9.0,0.0,139.3274076192614,8.29746835443038,True,False,False
1,10,0,19,0,18,9.5,0.0,139.3274076192614,8.823170731707316,True,False,False
2,11,0,30,0,17,10.0,0.0,139.3274076192614,8.217821782178218,True,False,False
3,15,0,45,0,16,11.25,0.0,139.3274076192614,9.444444444444445,True,False,False
4,5,1,50,1,15,10.0,0.75,134.5516050795076,8.823170731707316,True,False,False
5,7,0,57,1,14,9.5,-0.16666666666666607,130.2149927820169,8.217821782178218,True,False,False
6,5,0,62,1,13,8.857142857142858,-1.0,130.2149927820169,8.78415300546448,False,True,False
7,8,0,70,1,12,8.75,-3.6904761904761907,130.2149927820169,8.23913043478261,False,True,False
8,5,0,75,1,11,8.333333333333334,-2.083333333333333,130.2149927820169,8.29746835443038,False,True,False
9,4,0,79,1,10,7.9,-2.333333333333334,130.2149927820169,9.444444444444445,False,True,False
10,14,0,93,1,9,8.454545454545455,-2.2333333333333334,130.2149927820169,8.78415300546448,False,True,False
11,2,1,95,2,8,7.916666666666667,-0.7878787878787881,134.67584884654786,8.23913043478261,False,True,False
12,5,0,100,2,7,7.6923076923076925,-1.75,134.2987804878049,8.823170731707316,False,True,False
13,12,1,112,3,6,8.0,-1.1923076923076925,134.2987804878049,8.23913043478261,False,True,False
14,3,2,115,5,5,7.666666666666667,-2.666666666666667,128.88624936488725,8.217821782178218,False,True,False
15,19,0,134,5,4,8.375,-2.5,139.12334189131366,8.23913043478261,False,False,True
16,11,1,145,6,3,8.529411764705882,1.458333333333334,134.55466090680395,8.823170731707316,False,False,True
17,11,0,156,6,2,8.666666666666666,0.9705882352941178,130.03321087240104,8.78415300546448,False,False,True
18,7,1,163,7,1,8.578947368421053,4.5,113.92095010541021,8.217821782178218,False,False,True
19,10,0,173,7,0,8.65,0.08771929824561298,103.55686375460655,8.78415300546448,False,False,True
