over,runs_in_over,wickets_in_over,cumulative_runs,cumulative_wickets,overs_remaining,run_rate,momentum,batsman_sr,bowler_economy,phase_Powerplay,phase_Middle,phase_Death
0,4,0,4,0,19,4.0,0.0,121.42826536479643,7.306451612903226,True,False,False
1,4,0,8,0,18,4.0,0.0,121.42826536479643,8.404682274247492,True,False,False
2,6,0,14,0,17,4.666666666666667,0.0,121.42826536479643,7.306451612903226,True,False,False
3,7,0,21,0,16,5.25,0.0,121.42826536479643,8.404682274247492,True,False,False
4,13,0,34,0,15,6.8,0.41666666666666696,121.42826536479643,8.84688995215311,True,False,False
5,8,0,42,0,14,7.0,1.8666666666666663,121.42826536479643,8.21875,True,False,False
6,12,0,54,0,13,7.714285714285714,2.333333333333334,121.42826536479643,7.707070707070707,False,True,False
7,10,0,64,0,12,8.0,3.2857142857142856,121.42826536479643,7.514598540145985,False,True,False
8,6,0,70,0,11,7.777777777777778,2.0,121.42826536479643,8.404682274247492,False,True,False
9,6,0,76,0,10,7.6,1.5555555555555562,121.42826536479643,7.514598540145985,False,True,False
10,10,0,86,0,9,7.818181818181818,-0.2666666666666666,121.42826536479643,8.84688995215311,False,True,False
11,10,0,96,0,8,8.0,-0.4848484848484853,121.42826536479643,7.306451612903226,False,True,False
12,11,0,107,0,7,8.23076923076923,0.6666666666666661,121.42826536479643,7.514598540145985,False,True,False
13,12,0,119,0,6,8.5,2.102564102564104,121.42826536479643,8.21875,False,True,False
14,3,2,122,2,5,8.133333333333333,2.5,127.77141134658955,7.306451612903226,False,True,False
15,12,0,134,2,4,8.375,-0.4666666666666668,134.18794870312954,7.514598540145985,False,False,True
16,7,0,141,2,3,8.294117647058824,-0.375,134.18794870312954,8.21875,False,False,True
17,8,0,149,2,2,8.277777777777779,-1.9607843137254912,134.18794870312954,8.84688995215311,False,False,True
18,12,0,161,2,1,8.473684210526315,0.7222222222222214,134.18794870312954,8.404682274247492,False,False,True
19,17,1,178,3,0,8.9,0.526315789473685,134.18794870312954,8.84688995215311,False,False,True
