over,runs_in_over,wickets_in_over,cumulative_runs,cumulative_wickets,overs_remaining,run_rate,momentum,batsman_sr,bowler_economy,phase_Powerplay,phase_Middle,phase_Death
0,4,1,4,1,19,4.0,0.0,121.60083131439923,9.067415730337078,True,False,False
1,2,0,6,1,18,3.0,0.0,123.48212376676136,9.013452914798206,True,False,False
2,5,1,11,2,17,3.6666666666666665,0.0,131.84822972463374,9.067415730337078,True,False,False
3,12,0,23,2,16,5.75,-1.0,133.51641129637974,7.382239382239383,True,False,False
4,4,0,27,2,15,5.4,0.08333333333333304,133.51641129637974,8.666666666666666,True,False,False
5,2,0,29,2,14,4.833333333333333,1.0999999999999996,133.51641129637974,9.013452914798206,True,False,False
6,8,0,37,2,13,5.285714285714286,1.166666666666667,133.51641129637974,8.666666666666666,False,True,False
7,11,0,48,2,12,6.0,-0.6190476190476186,133.51641129637974,7.189153439153439,False,True,False
8,6,0,54,2,11,6.0,1.0,133.51641129637974,7.333333333333333,False,True,False
9,7,1,61,3,10,6.1,2.333333333333334,139.17380731376457,7.382239382239383,False,True,False
10,5,0,66,3,9,6.0,1.4000000000000004,134.47049015045758,7.333333333333333,False,True,False
11,9,0,75,3,8,6.25,-0.5,134.47049015045758,7.382239382239383,False,True,False
12,10,0,85,3,7,6.538461538461538,0.25,134.47049015045758,8.666666666666666,False,True,False
13,11,0,96,3,6,6.857142857142857,1.4615384615384617,134.47049015045758,7.382239382239383,False,True,False
14,12,0,108,3,5,7.2,3.1428571428571432,134.47049015045758,9.067415730337078,False,True,False
15,11,0,119,3,4,7.4375,3.8,134.47049015045758,7.333333333333333,False,False,True
16,15,0,134,3,3,7.882352941176471,3.895833333333334,134.47049015045758,8.666666666666666,False,False,True
17,12,0,146,3,2,8.11111111111111,4.784313725490195,134.47049015045758,9.013452914798206,False,False,True
18,4,0,150,3,1,7.894736842105263,4.555555555555555,134.47049015045758,9.067415730337078,False,False,True
19,16,0,166,3,0,8.3,2.438596491228071,134.47049015045758,9.013452914798206,False,False,True
