over,runs_in_over,wickets_in_over,cumulative_runs,cumulative_wickets,overs_remaining,run_rate,momentum,batsman_sr,bowler_economy,phase_Powerplay,phase_Middle,phase_Death
0,3,1,3,1,19,3.0,0.0,120.89114380432238,8.08361204013378,True,False,False
1,1,0,4,1,18,2.0,0.0,116.41465666605873,8.25,True,False,False
2,6,1,10,2,17,3.3333333333333335,0.0,117.09947148523764,8.08361204013378,True,False,False
3,7,0,17,2,16,4.25,-1.0,113.92205056179775,8.25,True,False,False
4,2,0,19,2,15,3.8,-0.08333333333333304,113.92205056179775,8.08361204013378,True,False,False
5,1,1,20,3,14,3.3333333333333335,0.7000000000000002,117.76543250200814,8.494413407821229,True,False,False
6,0,0,20,3,13,2.857142857142857,-0.5,121.96064875301222,8.25,False,True,False
7,9,0,29,3,12,3.625,-2.357142857142857,121.96064875301222,8.494413407821229,False,True,False
8,4,0,33,3,11,3.6666666666666665,-0.7916666666666665,121.96064875301222,8.663865546218487,False,True,False
9,4,0,37,3,10,3.7,0.6666666666666665,121.96064875301222,8.125,False,True,False
10,11,0,48,3,9,4.363636363636363,1.9666666666666668,121.96064875301222,8.663865546218487,False,True,False
11,10,0,58,3,8,4.833333333333333,1.9696969696969697,121.96064875301222,8.494413407821229,False,True,False
12,13,0,71,3,7,5.461538461538462,3.500000000000001,121.96064875301222,7.6469673405909795,False,True,False
13,12,0,83,3,6,5.928571428571429,5.871794871794872,121.96064875301222,8.663865546218487,False,True,False
14,7,0,90,3,5,6.0,5.738095238095237,121.96064875301222,7.6469673405909795,False,True,False
15,15,0,105,3,4,6.5625,4.666666666666666,121.96064875301222,8.25,False,False,True
16,5,2,110,5,3,6.470588235294118,4.770833333333334,118.88879851508004,8.494413407821229,False,False,True
17,5,0,115,5,2,6.388888888888889,1.5294117647058822,114.06485671191552,7.6469673405909795,False,False,True
18,10,0,125,5,1,6.578947368421052,0.9444444444444446,114.06485671191552,8.08361204013378,False,False,True
19,4,2,129,7,0,6.45,-0.9122807017543852,111.24594510236925,8.663865546218487,False,False,True
