over,runs_in_over,wickets_in_over,cumulative_runs,cumulative_wickets,overs_remaining,run_rate,momentum,batsman_sr,bowler_economy,phase_Powerplay,phase_Middle,phase_Death
0,10,0,10,0,19,10.0,0.0,146.17097377339275,7.687975646879757,True,False,False
1,18,0,28,0,18,14.0,0.0,146.17097377339275,7.594936708860759,True,False,False
2,16,1,44,1,17,14.666666666666666,0.0,141.52626321734957,8.962616822429906,True,False,False
3,5,0,49,1,16,12.25,-0.5,134.34224035447963,7.961864406779661,True,False,False
4,4,1,53,2,15,10.6,0.25,133.16777975658442,8.962616822429906,True,False,False
5,8,0,61,2,14,10.166666666666666,-3.2666666666666657,133.63324858224507,7.961864406779661,True,False,False
6,4,0,65,2,13,9.285714285714286,-4.999999999999999,133.63324858224507,7.594936708860759,False,True,False
7,6,1,71,3,12,8.875,-4.452380952380953,132.87330033861994,7.687975646879757,False,True,False
8,4,1,75,4,11,8.333333333333334,-3.375,134.78179498757035,7.594936708860759,False,True,False
9,5,0,80,4,10,8.0,-4.666666666666667,136.4959905556707,6.958333333333333,False,True,False
10,5,0,85,4,9,7.7272727272727275,-4.0,136.4959905556707,7.594936708860759,False,True,False
11,14,0,99,4,8,8.25,-3.5606060606060606,136.4959905556707,7.961864406779661,False,True,False
12,4,0,103,4,7,7.923076923076923,-0.25,136.4959905556707,6.958333333333333,False,True,False
13,6,0,109,4,6,7.785714285714286,-0.2564102564102564,136.4959905556707,8.962616822429906,False,True,False
14,7,0,116,4,5,7.733333333333333,0.2142857142857144,136.4959905556707,7.687975646879757,False,True,False
15,10,1,126,5,4,7.875,-2.0666666666666664,145.7388011845285,7.961864406779661,False,False,True
16,7,1,133,6,3,7.823529411764706,-0.708333333333333,150.33603052297016,8.962616822429906,False,False,True
17,1,0,134,6,2,7.444444444444445,-0.8235294117647056,135.90531466939797,6.958333333333333,False,False,True
18,12,1,146,7,1,7.684210526315789,-2.4444444444444446,90.60354311293197,7.687975646879757,False,False,True
19,13,1,159,8,0,7.95,-2.0175438596491224,73.95730706075533,6.958333333333333,False,False,True
