over,runs_in_over,wickets_in_over,cumulative_runs,cumulative_wickets,overs_remaining,run_rate,momentum,batsman_sr,bowler_economy,phase_Powerplay,phase_Middle,phase_Death
0,7,0,7,0,19,7.0,0.0,119.45445185876676,7.292887029288703,True,False,False
1,1,1,8,1,18,4.0,0.0,118.02358119374911,8.404682274247492,True,False,False
2,5,0,13,1,17,4.333333333333333,0.0,124.1082511215675,7.292887029288703,True,False,False
3,8,0,21,1,16,5.25,-0.5,124.1082511215675,8.404682274247492,True,False,False
4,15,0,36,1,15,7.2,-1.083333333333333,124.1082511215675,7.1947368421052635,True,False,False
5,1,1,37,2,14,6.166666666666667,2.1333333333333337,125.37823211307278,8.417457305502847,True,False,False
6,9,0,46,2,13,6.571428571428571,1.333333333333333,130.48642823775228,7.1947368421052635,False,True,False
7,10,0,56,2,12,7.0,1.2619047619047628,130.48642823775228,8.916666666666666,False,True,False
8,3,0,59,2,11,6.555555555555555,-0.833333333333333,130.48642823775228,8.417457305502847,False,True,False
9,4,1,63,3,10,6.3,0.7777777777777777,131.08413019510718,8.916666666666666,False,True,False
10,6,0,69,3,9,6.2727272727272725,-1.1333333333333329,130.09886410295016,8.081632653061224,False,True,False
11,11,0,80,3,8,6.666666666666667,-2.4393939393939394,130.09886410295016,8.916666666666666,False,True,False
12,5,1,85,4,7,6.538461538461538,-0.16666666666666696,130.09886410295016,8.081632653061224,False,True,False
13,8,0,93,4,6,6.642857142857143,0.2948717948717947,120.89551323301276,8.404682274247492,False,True,False
14,6,0,99,4,5,6.6,0.8571428571428568,120.89551323301276,8.081632653061224,False,True,False
15,4,0,103,4,4,6.4375,-0.7666666666666666,120.89551323301276,8.404682274247492,False,False,True
16,15,0,118,4,3,6.9411764705882355,-0.4375,120.89551323301276,8.081632653061224,False,False,True
17,5,1,123,5,2,6.833333333333333,1.3921568627450984,119.05854728354696,7.292887029288703,False,False,True
18,13,0,136,5,1,7.157894736842105,0.666666666666667,114.62872387727879,8.417457305502847,False,False,True
19,9,1,145,6,0,7.25,3.3421052631578947,111.24057782294777,7.292887029288703,False,False,True
