over,runs_in_over,wickets_in_over,cumulative_runs,cumulative_wickets,overs_remaining,run_rate,momentum,batsman_sr,bowler_economy,phase_Powerplay,phase_Middle,phase_Death
0,1,0,1,0,19,1.0,0.0,139.3274076192614,8.617283950617283,True,False,False
1,8,1,9,1,18,4.5,0.0,134.5516050795076,9.404255319148936,True,False,False
2,4,1,13,2,17,4.333333333333333,0.0,130.2149927820169,8.617283950617283,True,False,False
3,19,0,32,2,16,8.0,-1.0,134.2987804878049,7.406162464985995,True,False,False
4,17,0,49,2,15,9.8,1.333333333333334,134.2987804878049,8.916167664670658,True,False,False
5,17,0,66,2,14,11.0,3.033333333333333,134.2987804878049,9.404255319148936,True,False,False
6,7,0,73,2,13,10.428571428571429,6.666666666666668,134.2987804878049,7.885593220338983,False,True,False
7,5,1,78,3,12,9.75,3.2380952380952372,123.30882154336494,8.418367346938776,False,True,False
8,9,1,87,4,11,9.666666666666666,-0.5833333333333339,128.88624936488725,7.885593220338983,False,True,False
9,7,0,94,4,10,9.4,-3.666666666666666,142.66492222008833,8.916167664670658,False,True,False
10,1,0,95,4,9,8.636363636363637,-3.4000000000000004,142.66492222008833,7.885593220338983,False,True,False
11,18,0,113,4,8,9.416666666666666,-3.4696969696969697,142.66492222008833,8.418367346938776,False,True,False
12,7,1,120,5,7,9.23076923076923,-0.75,142.66492222008833,8.617283950617283,False,True,False
13,4,0,124,5,6,8.857142857142858,-1.0641025641025639,133.57479120117574,9.404255319148936,False,True,False
14,11,0,135,5,5,9.0,0.3095238095238084,133.57479120117574,7.885593220338983,False,True,False
15,11,0,146,5,4,9.125,-2.166666666666667,133.57479120117574,8.916167664670658,False,False,True
16,4,2,150,7,3,8.823529411764707,-0.4583333333333339,120.8737834451994,8.617283950617283,False,False,True
17,10,0,160,7,2,8.88888888888889,-1.1568627450980404,103.55686375460655,8.916167664670658,False,False,True
18,15,0,175,7,1,9.210526315789474,-1.5555555555555554,103.55686375460655,9.404255319148936,False,False,True
19,14,0,189,7,0,9.45,-0.5438596491228083,103.55686375460655,9.558823529411764,False,False,True
