over,runs_in_over,wickets_in_over,cumulative_runs,cumulative_wickets,overs_remaining,run_rate,momentum,batsman_sr,bowler_economy,phase_Powerplay,phase_Middle,phase_Death
0,8,1,8,1,19,8.0,0.0,133.84815790229254,7.98220640569395,True,False,False
1,7,0,15,1,18,7.5,0.0,136.81313980539716,7.1947368421052635,True,False,False
2,5,0,20,1,17,6.666666666666667,0.0,136.81313980539716,7.98220640569395,True,False,False
3,2,1,22,2,16,5.5,-0.5,135.47462292065822,7.1947368421052635,True,False,False
4,11,0,33,2,15,6.6,-1.333333333333333,137.65176840588356,7.98220640569395,True,False,False
5,11,0,44,2,14,7.333333333333333,-1.0999999999999996,137.65176840588356,7.1947368421052635,True,False,False
6,4,0,48,2,13,6.857142857142857,0.16666666666666696,137.65176840588356,7.6469673405909795,False,True,False
7,6,0,54,2,12,6.75,1.8095238095238093,137.65176840588356,8.417457305502847,False,True,False
8,5,0,59,2,11,6.555555555555555,0.25,137.65176840588356,7.823529411764706,False,True,False
9,10,0,69,2,10,6.9,-1.5555555555555554,137.65176840588356,8.417457305502847,False,True,False
10,11,0,80,2,9,7.2727272727272725,0.09999999999999964,137.65176840588356,7.823529411764706,False,True,False
11,5,0,85,2,8,7.083333333333333,1.3939393939393936,137.65176840588356,7.1947368421052635,False,True,False
12,7,0,92,2,7,7.076923076923077,1.583333333333333,137.65176840588356,7.6469673405909795,False,True,False
13,9,2,101,4,6,7.214285714285714,0.5897435897435903,134.42518826126505,7.823529411764706,False,True,False
14,7,0,108,4,5,7.2,-1.2142857142857144,141.09861881375537,7.6469673405909795,False,True,False
15,8,0,116,4,4,7.25,-0.5333333333333332,141.09861881375537,7.823529411764706,False,False,True
16,9,0,125,4,3,7.352941176470588,-0.25,141.09861881375537,8.417457305502847,False,False,True
17,1,0,126,4,2,7.0,0.6470588235294121,141.09861881375537,7.6469673405909795,False,False,True
18,6,0,132,4,1,6.947368421052632,-1.0,141.09861881375537,7.98220640569395,False,False,True
