over,runs_in_over,wickets_in_over,cumulative_runs,cumulative_wickets,overs_remaining,run_rate,momentum,batsman_sr,bowler_economy,phase_Powerplay,phase_Middle,phase_Death
0,9,0,9,0,19,9.0,0.0,133.31806575696783,8.692759295499021,True,False,False
1,14,1,23,1,18,11.5,0.0,133.31806575696783,8.82587064676617,True,False,False
2,1,0,24,1,17,8.0,0.0,130.63262930287465,8.692759295499021,True,False,False
3,12,0,36,1,16,9.0,-0.5,130.63262930287465,8.82587064676617,True,False,False
4,14,0,50,1,15,10.0,-0.5,130.63262930287465,6.850439882697947,True,False,False
5,6,0,56,1,14,9.333333333333334,-1.0,130.63262930287465,7.70566037735849,True,False,False
6,13,0,69,1,13,9.857142857142858,1.3333333333333321,130.63262930287465,9.20253164556962,False,True,False
7,10,0,79,1,12,9.875,1.1428571428571423,130.63262930287465,6.850439882697947,False,True,False
8,12,0,91,1,11,10.11111111111111,-0.20833333333333393,130.63262930287465,9.20253164556962,False,True,False
9,9,0,100,1,10,10.0,1.5555555555555554,130.63262930287465,7.70566037735849,False,True,False
10,9,1,109,2,9,9.909090909090908,0.3333333333333339,130.63262930287465,8.692759295499021,False,True,False
11,12,0,121,2,8,10.083333333333334,-0.4090909090909083,134.5814480832244,6.850439882697947,False,True,False
12,8,0,129,2,7,9.923076923076923,-0.5833333333333339,134.5814480832244,8.692759295499021,False,True,False
13,13,1,142,3,6,10.142857142857142,-0.7564102564102573,132.1452078130587,8.82587064676617,False,True,False
14,1,1,143,4,5,9.533333333333333,0.35714285714285765,127.31020224222907,7.70566037735849,False,True,False
15,10,0,153,4,4,9.5625,-3.2,129.2381466972849,9.20253164556962,False,False,True
16,11,0,164,4,3,9.647058823529411,-2.5625,129.2381466972849,7.70566037735849,False,False,True
17,4,1,168,5,2,9.333333333333334,-2.813725490196078,130.7915328264385,6.850439882697947,False,False,True
18,8,0,176,5,1,9.263157894736842,-1.5,132.55093560329414,9.20253164556962,False,False,True
19,15,0,191,5,0,9.55,-2.0964912280701755,132.55093560329414,8.82587064676617,False,False,True
