over,runs_in_over,wickets_in_over,cumulative_runs,cumulative_wickets,overs_remaining,run_rate,momentum,batsman_sr,bowler_economy,phase_Powerplay,phase_Middle,phase_Death
0,8,0,8,0,19,8.0,0.0,125.27845973467379,7.476683937823834,True,False,False
1,15,0,23,0,18,11.5,0.0,125.27845973467379,11.277777777777779,True,False,False
2,8,0,31,0,17,10.333333333333334,0.0,125.27845973467379,7.476683937823834,True,False,False
3,6,0,37,0,16,9.25,0.0,125.27845973467379,8.246913580246913,True,False,False
4,13,0,50,0,15,10.0,0.4166666666666661,125.27845973467379,8.041055718475073,True,False,False
5,16,1,66,1,14,11.0,-1.0,127.69741063151105,8.647058823529411,True,False,False
6,11,0,77,1,13,11.0,0.16666666666666607,125.57472142998408,8.246913580246913,False,True,False
7,5,0,82,1,12,10.25,1.833333333333334,125.57472142998408,8.041055718475073,False,True,False
8,7,1,89,2,11,9.88888888888889,-0.08333333333333393,129.36254836905306,7.36180904522613,False,True,False
9,2,0,91,2,10,9.1,-2.7222222222222223,127.77616634098682,8.666666666666666,False,True,False
10,6,0,97,2,9,8.818181818181818,-4.933333333333333,127.77616634098682,7.476683937823834,False,True,False
11,16,0,113,2,8,9.416666666666666,-4.318181818181818,127.77616634098682,8.666666666666666,False,True,False
12,16,0,129,2,7,9.923076923076923,-1.416666666666666,127.77616634098682,7.36180904522613,False,True,False
13,22,0,151,2,6,10.785714285714286,2.7435897435897427,127.77616634098682,7.476683937823834,False,True,False
14,19,0,170,2,5,11.333333333333334,7.2142857142857135,127.77616634098682,8.246913580246913,False,True,False
15,26,0,196,2,4,12.25,7.666666666666666,127.77616634098682,11.277777777777779,False,False,True
16,12,0,208,2,3,12.235294117647058,10.083333333333332,127.77616634098682,7.36180904522613,False,False,True
17,18,0,226,2,2,12.555555555555555,6.764705882352942,127.77616634098682,8.041055718475073,False,False,True
18,9,0,235,2,1,12.368421052631579,6.1111111111111125,127.77616634098682,8.246913580246913,False,False,True
19,11,3,246,5,0,12.3,0.6315789473684212,123.30541267808596,8.041055718475073,False,False,True
