over,runs_in_over,wickets_in_over,cumulative_runs,cumulative_wickets,overs_remaining,run_rate,momentum,batsman_sr,bowler_economy,phase_Powerplay,phase_Middle,phase_Death
0,9,1,9,1,19,9.0,0.0,115.84444958847276,7.849056603773585,True,False,False
1,1,0,10,1,18,5.0,0.0,110.34237860806127,8.647058823529411,True,False,False
2,3,2,13,3,17,4.333333333333333,0.0,115.22454950361282,7.869918699186992,True,False,False
3,9,0,22,3,16,5.5,-1.5,119.02404651754175,8.647058823529411,True,False,False
4,2,1,24,4,15,4.8,-2.166666666666667,120.8267963607273,7.869918699186992,True,False,False
5,13,0,37,4,14,6.166666666666667,-1.6333333333333329,122.92733622823263,7.849056603773585,True,False,False
6,5,0,42,4,13,6.0,1.333333333333333,122.92733622823263,7.385416666666667,False,True,False
7,7,0,49,4,12,6.125,0.16666666666666696,122.92733622823263,7.096774193548387,False,True,False
8,4,0,53,4,11,5.888888888888889,2.208333333333334,122.92733622823263,7.385416666666667,False,True,False
9,12,0,65,4,10,6.5,-0.5555555555555562,122.92733622823263,7.472602739726027,False,True,False
10,9,0,74,4,9,6.7272727272727275,1.166666666666667,122.92733622823263,7.096774193548387,False,True,False
11,9,0,83,4,8,6.916666666666667,1.6060606060606064,122.92733622823263,7.385416666666667,False,True,False
12,4,0,87,4,7,6.6923076923076925,3.083333333333333,122.92733622823263,7.85,False,True,False
13,12,0,99,4,6,7.071428571428571,0.6410256410256405,122.92733622823263,7.385416666666667,False,True,False
14,12,0,111,4,5,7.4,1.2619047619047628,122.92733622823263,7.869918699186992,False,True,False
15,2,1,113,5,4,7.0625,1.9333333333333336,113.39809836599157,7.096774193548387,False,False,True
16,4,2,117,7,3,6.882352941176471,1.104166666666666,108.67945155825566,7.85,False,False,True
17,3,0,120,7,2,6.666666666666667,-2.382352941176471,76.99437272426348,7.096774193548387,False,False,True
18,9,0,129,7,1,6.7894736842105265,-5.166666666666667,76.99437272426348,7.849056603773585,False,False,True
19,19,1,148,8,0,7.4,-2.4561403508771935,73.55180403839788,7.869918699186992,False,False,True
