over,runs_in_over,wickets_in_over,cumulative_runs,cumulative_wickets,overs_remaining,run_rate,momentum,batsman_sr,bowler_economy,phase_Powerplay,phase_Middle,phase_Death
0,8,0,8,0,19,8.0,0.0,146.17097377339275,7.98220640569395,True,False,False
1,2,0,10,0,18,5.0,0.0,146.17097377339275,9.20253164556962,True,False,False
2,14,0,24,0,17,8.0,0.0,146.17097377339275,7.98220640569395,True,False,False
3,9,0,33,0,16,8.25,0.0,146.17097377339275,9.20253164556962,True,False,False
4,5,1,38,1,15,7.6,0.08333333333333393,141.05360203585985,7.016393442622951,True,False,False
5,11,0,49,1,14,8.166666666666666,1.2333333333333343,133.63324858224507,7.6469673405909795,True,False,False
6,9,0,58,1,13,8.285714285714286,-0.33333333333333215,133.63324858224507,7.016393442622951,False,True,False
7,9,0,67,1,12,8.375,-0.45238095238095255,133.63324858224507,7.6469673405909795,False,True,False
8,4,0,71,1,11,7.888888888888889,1.291666666666666,133.63324858224507,7.823529411764706,False,True,False
9,6,0,77,1,10,7.7,-0.5555555555555562,133.63324858224507,7.6469673405909795,False,True,False
10,4,2,81,3,9,7.363636363636363,-1.3666666666666671,131.19304502732885,7.823529411764706,False,True,False
11,10,0,91,3,8,7.583333333333333,-3.6969696969696964,133.9005212275329,7.98220640569395,False,True,False
12,7,0,98,3,7,7.538461538461538,-1.916666666666666,133.9005212275329,7.016393442622951,False,True,False
13,23,0,121,3,6,8.642857142857142,-1.5384615384615383,133.9005212275329,7.6469673405909795,False,True,False
14,12,2,133,5,5,8.866666666666667,4.690476190476192,141.0655767506433,7.823529411764706,False,True,False
15,9,0,142,5,4,8.875,4.133333333333333,131.7951229783164,7.016393442622951,False,False,True
16,7,0,149,5,3,8.764705882352942,4.791666666666666,131.7951229783164,7.823529411764706,False,False,True
17,4,1,153,6,2,8.5,-0.4313725490196081,123.72548428439484,9.20253164556962,False,False,True
18,4,0,157,6,1,8.263157894736842,-2.333333333333333,119.91152450090743,7.98220640569395,False,False,True
19,4,2,161,8,0,8.05,-3.7631578947368425,107.17315919108114,9.20253164556962,False,False,True
