over,runs_in_over,wickets_in_over,cumulative_runs,cumulative_wickets,overs_remaining,run_rate,momentum,batsman_sr,bowler_economy,phase_Powerplay,phase_Middle,phase_Death
0,3,1,3,1,19,3.0,0.0,132.63388719626795,8.692759295499021,True,False,False
1,5,0,8,1,18,4.0,0.0,132.13443551085334,8.788990825688073,True,False,False
2,8,0,16,1,17,5.333333333333333,0.0,132.13443551085334,8.692759295499021,True,False,False
3,12,0,28,1,16,7.0,-0.5,132.13443551085334,8.788990825688073,True,False,False
4,1,1,29,2,15,5.8,1.333333333333334,129.61779941411234,8.692759295499021,True,False,False
5,6,0,35,2,14,5.833333333333333,0.7000000000000002,125.36840315704296,7.70566037735849,True,False,False
6,5,0,40,2,13,5.714285714285714,0.0,125.36840315704296,6.850439882697947,False,True,False
7,10,1,50,3,12,6.25,-2.2142857142857144,125.05636745372811,7.70566037735849,False,True,False
8,3,1,53,4,11,5.888888888888889,0.25,129.49276343526583,6.850439882697947,False,True,False
9,4,0,57,4,10,5.7,-0.8888888888888893,131.94688154258355,7.70566037735849,False,True,False
10,4,1,61,5,9,5.545454545454546,-1.0333333333333332,132.24294256373233,9.311418685121108,False,True,False
11,3,0,64,5,8,5.333333333333333,-2.8787878787878793,128.63368032656416,7.70566037735849,False,True,False
12,2,0,66,5,7,5.076923076923077,-2.1666666666666665,128.63368032656416,9.311418685121108,False,True,False
13,3,0,69,5,6,4.928571428571429,-2.5769230769230766,128.63368032656416,8.788990825688073,False,True,False
14,4,0,73,5,5,4.866666666666666,-2.2619047619047623,128.63368032656416,6.850439882697947,False,True,False
15,8,0,81,5,4,5.0625,-1.8666666666666663,128.63368032656416,8.692759295499021,False,False,True
16,3,0,84,5,3,4.9411764705882355,-0.0625,128.63368032656416,6.850439882697947,False,False,True
17,14,0,98,5,2,5.444444444444445,0.0588235294117645,128.63368032656416,9.311418685121108,False,False,True
18,15,0,113,5,1,5.947368421052632,2.8888888888888893,128.63368032656416,8.788990825688073,False,False,True
19,18,0,131,5,0,6.55,4.719298245614034,128.63368032656416,9.311418685121108,False,False,True
