over,runs_in_over,wickets_in_over,cumulative_runs,cumulative_wickets,overs_remaining,run_rate,momentum,batsman_sr,bowler_economy,phase_Powerplay,phase_Middle,phase_Death
0,10,0,10,0,19,10.0,0.0,142.1285225146956,7.1947368421052635,True,False,False
1,7,2,17,2,18,8.5,0.0,125.78687572676252,7.292887029288703,True,False,False
2,6,0,23,2,17,7.666666666666667,0.0,136.08805803456545,7.318181818181818,True,False,False
3,0,0,23,2,16,5.75,-1.0,136.08805803456545,7.292887029288703,True,False,False
4,4,1,27,3,15,5.4,-2.416666666666667,128.81360731716128,7.318181818181818,True,False,False
5,11,0,38,3,14,6.333333333333333,-2.566666666666667,118.80688124306326,7.634361233480176,True,False,False
6,2,1,40,4,13,5.714285714285714,-1.833333333333333,118.80688124306326,7.1947368421052635,False,True,False
7,1,0,41,4,12,5.125,-1.0476190476190474,114.06876912614756,7.634361233480176,False,True,False
8,4,0,45,4,11,5.0,-0.958333333333333,114.06876912614756,8.764940239043824,False,True,False
9,8,0,53,4,10,5.3,-3.1666666666666665,114.06876912614756,7.634361233480176,False,True,False
10,6,0,59,4,9,5.363636363636363,-0.9666666666666668,114.06876912614756,8.764940239043824,False,True,False
11,9,0,68,4,8,5.666666666666667,0.6363636363636367,114.06876912614756,8.653846153846153,False,True,False
12,5,0,73,4,7,5.615384615384615,2.0,114.06876912614756,7.318181818181818,False,True,False
13,8,0,81,4,6,5.785714285714286,1.051282051282052,114.06876912614756,8.764940239043824,False,True,False
14,6,2,87,6,5,5.8,1.5476190476190474,113.8263684886237,7.318181818181818,False,True,False
15,1,2,88,8,4,5.5,-0.4666666666666668,114.58789226412087,7.292887029288703,False,False,True
16,2,1,90,9,3,5.294117647058823,-2.5,86.99828857293312,7.1947368421052635,False,False,True
17,5,1,95,10,2,5.277777777777778,-4.794117647058823,81.20833333333334,7.292887029288703,False,False,True
