over,runs_in_over,wickets_in_over,cumulative_runs,cumulative_wickets,overs_remaining,run_rate,momentum,batsman_sr,bowler_economy,phase_Powerplay,phase_Middle,phase_Death
0,6,0,6,0,19,6.0,0.0,124.40714824362954,7.385416666666667,True,False,False
1,2,0,8,0,18,4.0,0.0,124.40714824362954,7.928125,True,False,False
2,1,0,9,0,17,3.0,0.0,124.40714824362954,7.385416666666667,True,False,False
3,8,0,17,0,16,4.25,0.0,124.40714824362954,7.687975646879757,True,False,False
4,11,0,28,0,15,5.6,-0.5833333333333335,124.40714824362954,7.916666666666667,True,False,False
5,14,0,42,0,14,7.0,1.0666666666666673,124.40714824362954,7.687975646879757,True,False,False
6,1,0,43,0,13,6.142857142857143,4.0,124.40714824362954,7.096774193548387,False,True,False
7,12,0,55,0,12,6.875,2.523809523809523,124.40714824362954,8.233082706766917,False,True,False
8,9,0,64,0,11,7.111111111111111,2.125,124.40714824362954,7.096774193548387,False,True,False
9,4,0,68,0,10,6.8,0.22222222222222232,124.40714824362954,7.928125,False,True,False
10,6,0,74,0,9,6.7272727272727275,1.533333333333334,124.40714824362954,7.385416666666667,False,True,False
11,9,0,83,0,8,6.916666666666667,-0.3939393939393945,124.40714824362954,7.916666666666667,False,True,False
12,6,0,89,0,7,6.846153846153846,-0.5833333333333339,124.40714824362954,7.096774193548387,False,True,False
13,11,0,100,0,6,7.142857142857143,0.1538461538461542,124.40714824362954,7.385416666666667,False,True,False
14,15,0,115,0,5,7.666666666666667,1.5238095238095228,124.40714824362954,7.687975646879757,False,True,False
15,1,2,116,2,4,7.25,2.999999999999999,128.54616837961862,7.916666666666667,False,False,True
16,9,1,125,3,3,7.352941176470588,0.75,130.15687253620038,7.928125,False,False,True
17,12,0,137,3,2,7.611111111111111,-0.5196078431372539,128.9676525917078,7.096774193548387,False,False,True
18,9,1,146,4,1,7.684210526315789,-1.7777777777777777,127.455867076838,7.928125,False,False,True
19,18,1,164,5,0,8.2,1.3157894736842106,128.63368032656416,7.916666666666667,False,False,True
