over,runs_in_over,wickets_in_over,cumulative_runs,cumulative_wickets,overs_remaining,run_rate,momentum,batsman_sr,bowler_economy,phase_Powerplay,phase_Middle,phase_Death
0,4,0,4,0,19,4.0,0.0,119.41946435836641,7.882075471698113,True,False,False
1,11,0,15,0,18,7.5,0.0,119.41946435836641,7.805755395683454,True,False,False
2,9,0,24,0,17,8.0,0.0,119.41946435836641,7.882075471698113,True,False,False
3,10,0,34,0,16,8.5,0.0,119.41946435836641,8.16,True,False,False
4,13,0,47,0,15,9.4,1.5,119.41946435836641,7.882075471698113,True,False,False
5,11,0,58,0,14,9.666666666666666,1.2666666666666657,119.41946435836641,7.805755395683454,True,False,False
6,9,0,67,0,13,9.571428571428571,1.6666666666666679,119.41946435836641,8.01702786377709,False,True,False
7,9,0,76,0,12,9.5,1.4285714285714288,119.41946435836641,7.961538461538462,False,True,False
8,6,0,82,0,11,9.11111111111111,0.16666666666666607,119.41946435836641,8.01702786377709,False,True,False
9,3,0,85,0,10,8.5,-1.1111111111111107,119.41946435836641,7.961538461538462,False,True,False
10,17,0,102,0,9,9.272727272727273,-2.5,119.41946435836641,9.457627118644067,False,True,False
11,7,0,109,0,8,9.083333333333334,-0.6060606060606073,119.41946435836641,7.961538461538462,False,True,False
12,20,0,129,0,7,9.923076923076923,-0.08333333333333393,119.41946435836641,8.01702786377709,False,True,False
13,5,1,134,1,6,9.571428571428571,4.743589743589743,119.87091274684745,7.961538461538462,False,True,False
14,13,0,147,1,5,9.8,0.5952380952380949,122.11406142796349,8.01702786377709,False,True,False
15,11,0,158,1,4,9.875,2.3666666666666654,122.11406142796349,8.16,False,False,True
16,11,1,169,2,3,9.941176470588236,-0.7083333333333339,123.22677307945197,7.805755395683454,False,False,True
17,12,0,181,2,2,10.055555555555555,1.2254901960784306,124.45325485727321,8.16,False,False,True
18,9,0,190,2,1,10.0,0.7777777777777786,124.45325485727321,9.457627118644067,False,False,True
19,8,0,198,2,0,9.9,0.16666666666666607,124.45325485727321,7.805755395683454,False,False,True
