over,runs_in_over,wickets_in_over,cumulative_runs,cumulative_wickets,overs_remaining,run_rate,momentum,batsman_sr,bowler_economy,phase_Powerplay,phase_Middle,phase_Death
0,2,0,2,0,19,2.0,0.0,114.67485339565337,8.071428571428571,True,False,False
1,5,1,7,1,18,3.5,0.0,117.97807800397904,8.041055718475073,True,False,False
2,7,0,14,1,17,4.666666666666667,0.0,119.38619707411166,8.071428571428571,True,False,False
3,3,1,17,2,16,4.25,-0.5,119.38619707411166,8.041055718475073,True,False,False
4,3,0,20,2,15,4.0,-0.25,121.05303051183816,8.071428571428571,True,False,False
5,6,0,26,2,14,4.333333333333333,-0.16666666666666696,121.05303051183816,8.041055718475073,True,False,False
6,5,0,31,2,13,4.428571428571429,-0.833333333333333,121.05303051183816,8.071428571428571,False,True,False
7,9,0,40,2,12,5.0,0.23809523809523814,121.05303051183816,7.714285714285714,False,True,False
8,11,0,51,2,11,5.666666666666667,1.666666666666667,121.05303051183816,7.36180904522613,False,True,False
9,4,0,55,2,10,5.5,2.666666666666667,121.05303051183816,7.051724137931035,False,True,False
10,6,0,61,2,9,5.545454545454546,2.5,121.05303051183816,7.36180904522613,False,True,False
11,5,1,66,3,8,5.5,1.4545454545454541,127.52125477795067,7.9875,False,True,False
12,4,0,70,3,7,5.384615384615385,-1.0,134.18794870312954,7.051724137931035,False,True,False
13,15,0,85,3,6,6.071428571428571,-0.884615384615385,134.18794870312954,7.9875,False,True,False
14,9,0,94,3,5,6.266666666666667,1.4285714285714288,134.18794870312954,7.051724137931035,False,True,False
15,5,0,99,3,4,6.1875,3.0666666666666673,134.18794870312954,7.36180904522613,False,False,True
16,12,0,111,3,3,6.529411764705882,3.479166666666666,134.18794870312954,7.578947368421052,False,False,True
17,7,1,118,4,2,6.555555555555555,2.137254901960784,134.18794870312954,8.041055718475073,False,False,True
18,7,0,125,4,1,6.578947368421052,0.9444444444444446,116.87171840726498,7.051724137931035,False,False,True
19,8,1,133,5,0,6.65,1.5877192982456139,121.57275986060851,7.36180904522613,False,False,True
