over,runs_in_over,wickets_in_over,cumulative_runs,cumulative_wickets,overs_remaining,run_rate,momentum,batsman_sr,bowler_economy,phase_Powerplay,phase_Middle,phase_Death
0,11,0,11,0,19,11.0,0.0,135.316797909456,7.882075471698113,True,False,False
1,6,1,17,1,18,8.5,0.0,139.73801248643016,8.404682274247492,True,False,False
2,8,0,25,1,17,8.333333333333334,0.0,145.35108543907438,7.882075471698113,True,False,False
3,0,2,25,3,16,6.25,-0.5,138.97906153399188,8.404682274247492,True,False,False
4,3,1,28,4,15,5.6,-3.083333333333333,133.2722737413638,7.6469673405909795,True,False,False
5,3,1,31,5,14,5.166666666666667,-3.433333333333333,130.45596602879053,8.404682274247492,True,False,False
6,10,0,41,5,13,5.857142857142857,-5.166666666666667,137.14736367733212,7.6469673405909795,False,True,False
7,6,0,47,5,12,5.875,-1.5238095238095237,137.14736367733212,8.404682274247492,False,True,False
8,18,0,65,5,11,7.222222222222222,-0.04166666666666696,137.14736367733212,8.098901098901099,False,True,False
9,5,1,70,6,10,7.0,4.111111111111112,125.54010291667105,7.6469673405909795,False,True,False
10,11,0,81,6,9,7.363636363636363,2.166666666666666,125.4530115178637,8.098901098901099,False,True,False
11,8,0,89,6,8,7.416666666666667,3.4696969696969706,125.4530115178637,8.417457305502847,False,True,False
12,3,0,92,6,7,7.076923076923077,0.08333333333333304,125.4530115178637,7.6469673405909795,False,True,False
13,4,0,96,6,6,6.857142857142857,0.2564102564102564,125.4530115178637,8.417457305502847,False,True,False
14,14,0,110,6,5,7.333333333333333,-1.8571428571428568,125.4530115178637,9.166666666666666,False,True,False
15,16,0,126,6,4,7.875,-0.33333333333333304,125.4530115178637,8.098901098901099,False,False,True
16,12,0,138,6,3,8.117647058823529,3.458333333333334,125.4530115178637,7.882075471698113,False,False,True
17,18,0,156,6,2,8.666666666666666,5.882352941176471,125.4530115178637,8.417457305502847,False,False,True
18,3,0,159,6,1,8.368421052631579,6.666666666666668,125.4530115178637,7.882075471698113,False,False,True
