over,runs_in_over,wickets_in_over,cumulative_runs,cumulative_wickets,overs_remaining,run_rate,momentum,batsman_sr,bowler_economy,phase_Powerplay,phase_Middle,phase_Death
0,11,1,11,1,19,11.0,0.0,130.44773897572233,8.82587064676617,True,False,False
1,10,0,21,1,18,10.5,0.0,121.25807873090483,8.282229965156795,True,False,False
2,11,1,32,2,17,10.666666666666666,0.0,121.25807873090483,8.82587064676617,True,False,False
3,7,0,39,2,16,9.75,-1.0,134.5513648916584,8.404682274247492,True,False,False
4,7,1,46,3,15,9.2,-0.9166666666666661,134.5513648916584,8.84688995215311,True,False,False
5,5,0,51,3,14,8.5,-1.8666666666666654,122.01571468628357,8.404682274247492,True,False,False
6,2,0,53,3,13,7.571428571428571,-2.666666666666667,122.01571468628357,8.84688995215311,False,True,False
7,8,0,61,3,12,7.625,-3.404761904761904,122.01571468628357,7.872727272727273,False,True,False
8,4,1,65,4,11,7.222222222222222,-2.625,126.2386355240048,7.707070707070707,False,True,False
9,1,0,66,4,10,6.6,-3.0555555555555554,130.0508880686159,8.282229965156795,False,True,False
10,11,0,77,4,9,7.0,-2.7666666666666666,130.0508880686159,7.707070707070707,False,True,False
11,4,0,81,4,8,6.75,-2.166666666666667,130.0508880686159,7.872727272727273,False,True,False
12,11,0,92,4,7,7.076923076923077,-1.416666666666667,130.0508880686159,8.82587064676617,False,True,False
13,9,1,101,5,6,7.214285714285714,1.5897435897435894,126.7368239298019,8.404682274247492,False,True,False
14,3,0,104,5,5,6.933333333333334,0.2857142857142856,122.76299729497921,7.872727272727273,False,True,False
15,9,0,113,5,4,7.0625,0.2333333333333334,122.76299729497921,8.84688995215311,False,False,True
16,5,0,118,5,3,6.9411764705882355,-0.5625,122.76299729497921,8.282229965156795,False,False,True
17,4,1,122,6,2,6.777777777777778,-1.2745098039215685,114.97691883157346,8.82587064676617,False,False,True
18,9,2,131,8,1,6.894736842105263,-1.2777777777777777,98.70306741259564,8.84688995215311,False,False,True
19,5,0,136,8,0,6.8,-2.394736842105263,73.59198998748437,8.282229965156795,False,False,True
