over,runs_in_over,wickets_in_over,cumulative_runs,cumulative_wickets,overs_remaining,run_rate,momentum,batsman_sr,bowler_economy,phase_Powerplay,phase_Middle,phase_Death
0,1,1,1,1,19,1.0,0.0,139.49807554674703,8.418367346938776,True,False,False
1,8,0,9,1,18,4.5,0.0,141.02329401827248,8.404682274247492,True,False,False
2,6,0,15,1,17,5.0,0.0,141.02329401827248,8.418367346938776,True,False,False
3,12,0,27,1,16,6.75,-0.5,141.02329401827248,8.404682274247492,True,False,False
4,13,0,40,1,15,8.0,1.916666666666666,141.02329401827248,8.96657381615599,True,False,False
5,13,0,53,1,14,8.833333333333334,2.333333333333334,141.02329401827248,10.142857142857142,True,False,False
6,9,0,62,1,13,8.857142857142858,3.833333333333332,141.02329401827248,8.180722891566266,False,True,False
7,6,0,68,1,12,8.5,2.8095238095238084,141.02329401827248,8.895652173913044,False,True,False
8,9,1,77,2,11,8.555555555555555,0.8333333333333339,137.62181553244633,8.180722891566266,False,True,False
9,10,0,87,2,10,8.7,-1.0555555555555554,128.4855688271248,8.895652173913044,False,True,False
10,3,0,90,2,9,8.181818181818182,-0.8666666666666654,128.4855688271248,8.418367346938776,False,True,False
11,7,0,97,2,8,8.083333333333334,-1.3484848484848486,128.4855688271248,10.142857142857142,False,True,False
12,13,1,110,3,7,8.461538461538462,-1.416666666666667,129.44151383520642,8.418367346938776,False,True,False
13,6,0,116,3,6,8.285714285714286,-1.2948717948717947,131.08613120608186,8.180722891566266,False,True,False
14,5,0,121,3,5,8.066666666666666,-0.1190476190476204,131.08613120608186,8.96657381615599,False,True,False
15,5,0,126,3,4,7.875,-0.5666666666666664,131.08613120608186,10.142857142857142,False,False,True
16,16,0,142,3,3,8.352941176470589,-2.541666666666667,131.08613120608186,8.96657381615599,False,False,True
17,9,0,151,3,2,8.38888888888889,0.3137254901960773,131.08613120608186,8.895652173913044,False,False,True
18,12,0,163,3,1,8.578947368421053,1.6111111111111107,131.08613120608186,10.142857142857142,False,False,True
