over,runs_in_over,wickets_in_over,cumulative_runs,cumulative_wickets,overs_remaining,run_rate,momentum,batsman_sr,bowler_economy,phase_Powerplay,phase_Middle,phase_Death
0,9,0,9,0,19,9.0,0.0,119.75932756114989,7.961864406779661,True,False,False
1,7,0,16,0,18,8.0,0.0,119.75932756114989,9.217391304347826,True,False,False
2,6,0,22,0,17,7.333333333333333,0.0,119.75932756114989,7.961864406779661,True,False,False
3,6,0,28,0,16,7.0,0.0,119.75932756114989,9.217391304347826,True,False,False
4,18,0,46,0,15,9.2,-0.666666666666667,119.75932756114989,8.365384615384615,True,False,False
5,5,0,51,0,14,8.5,0.8000000000000007,119.75932756114989,7.382239382239383,True,False,False
6,9,0,60,0,13,8.571428571428571,1.166666666666666,119.75932756114989,9.5,False,True,False
7,12,0,72,0,12,9.0,2.095238095238095,119.75932756114989,8.365384615384615,False,True,False
8,12,0,84,0,11,9.333333333333334,-0.3333333333333339,119.75932756114989,9.5,False,True,False
9,12,0,96,0,10,9.6,1.666666666666666,119.75932756114989,8.166666666666666,False,True,False
10,6,0,102,0,9,9.272727272727273,2.4000000000000004,119.75932756114989,7.382239382239383,False,True,False
11,8,0,110,0,8,9.166666666666666,0.7272727272727266,119.75932756114989,8.29746835443038,False,True,False
12,5,1,115,1,7,8.846153846153847,-0.5,122.47894973946104,9.5,False,True,False
13,3,0,118,1,6,8.428571428571429,-3.0128205128205137,125.40556629633325,8.365384615384615,False,True,False
14,5,0,123,1,5,8.2,-3.595238095238096,125.40556629633325,9.5,False,True,False
15,13,0,136,1,4,8.5,-4.366666666666666,125.40556629633325,7.382239382239383,False,False,True
16,10,0,146,1,3,8.588235294117647,-1.5,125.40556629633325,9.217391304347826,False,False,True
17,8,1,154,2,2,8.555555555555555,0.7450980392156872,125.40556629633325,8.365384615384615,False,False,True
18,9,0,163,2,1,8.578947368421053,1.2777777777777786,131.67532090337943,7.961864406779661,False,False,True
19,9,1,172,3,0,8.6,-0.0789473684210531,129.31172300912974,9.217391304347826,False,False,True
