over,runs_in_over,wickets_in_over,cumulative_runs,cumulative_wickets,overs_remaining,run_rate,momentum,batsman_sr,bowler_economy,phase_Powerplay,phase_Middle,phase_Death
0,8,0,8,0,19,8.0,0.0,158.71190841496517,8.418367346938776,True,False,False
1,17,0,25,0,18,12.5,0.0,158.71190841496517,10.323529411764707,True,False,False
2,22,0,47,0,17,15.666666666666666,0.0,158.71190841496517,8.418367346938776,True,False,False
3,17,0,64,0,16,16.0,0.0,158.71190841496517,7.885593220338983,True,False,False
4,23,0,87,0,15,17.4,2.666666666666668,158.71190841496517,9.261538461538462,True,False,False
5,20,0,107,0,14,17.833333333333332,3.2666666666666693,158.71190841496517,10.323529411764707,True,False,False
6,19,0,126,0,13,18.0,2.166666666666668,158.71190841496517,7.4,False,True,False
7,17,0,143,0,12,17.875,2.666666666666668,158.71190841496517,7.885593220338983,False,True,False
8,14,0,157,0,11,17.444444444444443,0.7916666666666679,158.71190841496517,9.261538461538462,False,True,False
9,10,0,167,0,10,16.7,-0.777777777777775,158.71190841496517,10.323529411764707,False,True,False
