over,runs_in_over,wickets_in_over,cumulative_runs,cumulative_wickets,overs_remaining,run_rate,momentum,batsman_sr,bowler_economy,phase_Powerplay,phase_Middle,phase_Death
0,4,1,4,1,19,4.0,0.0,121.41284160442787,7.708894878706199,True,False,False
1,1,1,5,2,18,2.5,0.0,115.59193121693121,8.2578125,True,False,False
2,15,0,20,2,17,6.666666666666667,0.0,123.50396168515613,7.708894878706199,True,False,False
3,7,0,27,2,16,6.75,-1.0,123.50396168515613,8.2578125,True,False,False
4,6,1,33,3,15,6.6,0.41666666666666696,126.12044240722732,8.118279569892474,True,False,False
5,5,1,38,4,14,6.333333333333333,2.2333333333333343,133.3909521642962,8.2578125,True,False,False
6,11,0,49,4,13,7.0,-1.333333333333333,135.03154063536226,9.9375,False,True,False
7,3,1,52,5,12,6.5,-0.666666666666667,119.7963079891179,6.824427480916031,False,True,False
8,6,1,58,6,11,6.444444444444445,-1.166666666666667,109.4218178148502,8.118279569892474,False,True,False
9,4,0,62,6,10,6.2,-0.7777777777777777,98.45602479659047,6.824427480916031,False,True,False
10,5,1,67,7,9,6.090909090909091,-2.866666666666667,98.45602479659047,8.118279569892474,False,True,False
11,3,0,70,7,8,5.833333333333333,-2.090909090909091,96.89506420545746,6.824427480916031,False,True,False
12,4,0,74,7,7,5.6923076923076925,-2.333333333333333,96.89506420545746,8.118279569892474,False,True,False
13,4,0,78,7,6,5.571428571428571,-2.1923076923076925,96.89506420545746,6.824427480916031,False,True,False
14,11,0,89,7,5,5.933333333333334,-1.9047619047619047,96.89506420545746,7.708894878706199,False,True,False
15,7,0,96,7,4,6.0,0.39999999999999947,96.89506420545746,8.627906976744185,False,False,True
16,5,0,101,7,3,5.9411764705882355,1.333333333333333,96.89506420545746,7.708894878706199,False,False,True
17,3,0,104,7,2,5.777777777777778,1.7254901960784315,96.89506420545746,9.9375,False,False,True
18,1,2,105,9,1,5.526315789473684,-0.7777777777777777,74.76332157641295,8.2578125,False,False,True
19,15,0,120,9,0,6.0,-3.526315789473684,52.63157894736842,9.9375,False,False,True
