over,runs_in_over,wickets_in_over,cumulative_runs,cumulative_wickets,overs_remaining,run_rate,momentum,batsman_sr,bowler_economy,phase_Powerplay,phase_Middle,phase_Death
0,12,1,12,1,19,12.0,0.0,137.92992495622232,8.29746835443038,True,False,False
1,7,0,19,1,18,9.5,0.0,140.07849215078494,8.823170731707316,True,False,False
2,7,1,26,2,17,8.666666666666666,0.0,133.4927981195314,9.618556701030927,True,False,False
3,13,0,39,2,16,9.75,-1.0,136.18810228878615,8.823170731707316,True,False,False
4,4,0,43,2,15,8.6,-1.25,136.18810228878615,8.29746835443038,True,False,False
5,15,0,58,2,14,9.666666666666666,-1.0999999999999996,136.18810228878615,9.618556701030927,True,False,False
6,6,0,64,2,13,9.142857142857142,1.0,136.18810228878615,8.925925925925926,False,True,False
7,14,0,78,2,12,9.75,-0.8095238095238084,136.18810228878615,8.452380952380953,False,True,False
8,7,0,85,2,11,9.444444444444445,1.916666666666666,136.18810228878615,8.925925925925926,False,True,False
9,2,1,87,3,10,8.7,-0.44444444444444464,137.27922387188036,9.012422360248447,False,True,False
10,4,0,91,3,9,8.272727272727273,-1.5333333333333323,145.75813077930832,8.29746835443038,False,True,False
11,19,0,110,3,8,9.166666666666666,-4.43939393939394,145.75813077930832,9.012422360248447,False,True,False
12,5,1,115,4,7,8.846153846153847,-1.3333333333333321,145.75813077930832,8.29746835443038,False,True,False
13,10,1,125,5,6,8.928571428571429,-0.012820512820512775,118.26761799808601,9.121621621621621,False,True,False
14,4,1,129,6,5,8.6,1.404761904761905,107.67069347809465,8.823170731707316,False,True,False
15,9,0,138,6,4,8.625,-3.7666666666666666,128.63368032656416,9.121621621621621,False,False,True
16,13,0,151,6,3,8.882352941176471,-1.958333333333333,128.63368032656416,9.618556701030927,False,False,True
17,15,0,166,6,2,9.222222222222221,-0.7156862745098049,128.63368032656416,8.823170731707316,False,False,True
18,18,0,184,6,1,9.68421052631579,3.1111111111111125,128.63368032656416,9.012422360248447,False,False,True
19,7,1,191,7,0,9.55,5.6491228070175445,130.63882782004862,9.618556701030927,False,False,True
