over,runs_in_over,wickets_in_over,cumulative_runs,cumulative_wickets,overs_remaining,run_rate,momentum,batsman_sr,bowler_economy,phase_Powerplay,phase_Middle,phase_Death
0,1,1,1,1,19,1.0,0.0,128.06943456614508,9.617021276595745,True,False,False
1,4,1,5,2,18,2.5,0.0,125.60241176523225,7.826923076923077,True,False,False
2,9,0,14,2,17,4.666666666666667,0.0,125.7631682096461,9.617021276595745,True,False,False
3,2,1,16,3,16,4.0,-1.0,128.73693787291316,7.826923076923077,True,False,False
4,9,0,25,3,15,5.0,0.0,129.29325211323714,9.831858407079647,True,False,False
5,12,0,37,3,14,6.166666666666667,1.166666666666667,129.29325211323714,7.826923076923077,True,False,False
6,8,0,45,3,13,6.428571428571429,1.0,129.29325211323714,9.617021276595745,False,True,False
7,3,1,48,4,12,6.0,3.2380952380952372,129.29325211323714,7.6469673405909795,False,True,False
8,7,0,55,4,11,6.111111111111111,1.166666666666667,131.6188883459165,7.03125,False,True,False
9,3,0,58,4,10,5.8,-0.6111111111111107,131.6188883459165,7.6469673405909795,False,True,False
10,10,0,68,4,9,6.181818181818182,-1.9666666666666668,131.6188883459165,7.03125,False,True,False
11,19,0,87,4,8,7.25,0.4848484848484853,131.6188883459165,7.6469673405909795,False,True,False
12,0,1,87,5,7,6.6923076923076925,3.416666666666666,138.91963448413213,8.417457305502847,False,True,False
13,12,0,99,5,6,7.071428571428571,2.4743589743589736,144.10280198000532,9.831858407079647,False,True,False
14,9,0,108,5,5,7.2,2.7619047619047628,144.10280198000532,8.417457305502847,False,True,False
15,10,0,118,5,4,7.375,-0.7000000000000002,144.10280198000532,7.826923076923077,False,False,True
16,4,0,122,5,3,7.176470588235294,2.958333333333334,144.10280198000532,8.417457305502847,False,False,True
17,25,0,147,5,2,8.166666666666666,0.4901960784313726,144.10280198000532,9.831858407079647,False,False,True
18,10,2,157,7,1,8.263157894736842,4.833333333333334,124.19353465333688,8.417457305502847,False,False,True
19,13,0,170,7,0,8.5,3.7368421052631575,138.17557193305697,9.831858407079647,False,False,True
