over,runs_in_over,wickets_in_over,cumulative_runs,cumulative_wickets,overs_remaining,run_rate,momentum,batsman_sr,bowler_economy,phase_Powerplay,phase_Middle,phase_Death
0,8,0,8,0,19,8.0,0.0,134.0740263670629,9.22689075630252,True,False,False
1,7,0,15,0,18,7.5,0.0,134.0740263670629,8.633802816901408,True,False,False
2,11,0,26,0,17,8.666666666666666,0.0,134.0740263670629,9.22689075630252,True,False,False
3,6,0,32,0,16,8.0,0.0,134.0740263670629,7.1947368421052635,True,False,False
4,7,0,39,0,15,7.8,0.0,134.0740263670629,7.292887029288703,True,False,False
5,7,1,46,1,14,7.666666666666667,0.20000000000000018,130.68335992038428,8.633802816901408,True,False,False
6,6,0,52,1,13,7.428571428571429,-1.5,130.97015226949438,7.406162464985995,False,True,False
7,6,0,58,1,12,7.25,-1.2619047619047619,130.97015226949438,7.1947368421052635,False,True,False
8,5,0,63,1,11,7.0,-1.416666666666667,130.97015226949438,7.406162464985995,False,True,False
9,6,0,69,1,10,6.9,-1.333333333333333,130.97015226949438,7.456310679611651,False,True,False
10,11,1,80,2,9,7.2727272727272725,-1.2333333333333334,130.97015226949438,7.406162464985995,False,True,False
11,11,0,91,2,8,7.583333333333333,-0.43939393939393945,144.26343843024796,7.292887029288703,False,True,False
12,9,0,100,2,7,7.6923076923076925,1.2500000000000009,144.26343843024796,7.406162464985995,False,True,False
13,11,0,111,2,6,7.928571428571429,2.1410256410256414,144.26343843024796,7.456310679611651,False,True,False
14,28,0,139,2,5,9.266666666666667,2.404761904761905,144.26343843024796,8.633802816901408,False,True,False
15,22,0,161,2,4,10.0625,6.7333333333333325,144.26343843024796,7.292887029288703,False,False,True
16,4,1,165,3,3,9.705882352941176,10.270833333333332,141.71003264798375,7.456310679611651,False,False,True
17,5,1,170,4,2,9.444444444444445,7.794117647058824,133.3529325110672,8.633802816901408,False,False,True
18,10,0,180,4,1,9.473684210526315,-0.11111111111111072,131.7277882248731,7.456310679611651,False,False,True
19,18,0,198,4,0,9.9,-4.140350877192982,131.7277882248731,7.292887029288703,False,False,True
