over,runs_in_over,wickets_in_over,cumulative_runs,cumulative_wickets,overs_remaining,run_rate,momentum,batsman_sr,bowler_economy,phase_Powerplay,phase_Middle,phase_Death
0,9,1,9,1,19,9.0,0.0,132.85695072706957,8.29746835443038,True,False,False
1,1,2,10,3,18,5.0,0.0,133.0351324905948,8.544117647058824,True,False,False
2,8,0,18,3,17,6.0,0.0,125.64424662418111,9.117391304347827,True,False,False
3,5,0,23,3,16,5.75,-1.5,125.64424662418111,8.544117647058824,True,False,False
4,10,0,33,3,15,6.6,-2.083333333333333,125.64424662418111,9.117391304347827,True,False,False
5,21,0,54,3,14,9.0,1.0666666666666673,125.64424662418111,8.544117647058824,True,False,False
6,12,0,66,3,13,9.428571428571429,3.0,125.64424662418111,8.29746835443038,False,True,False
7,14,0,80,3,12,10.0,4.904761904761905,125.64424662418111,8.095890410958905,False,True,False
8,2,0,82,3,11,9.11111111111111,5.666666666666666,125.64424662418111,9.831858407079647,False,True,False
9,10,1,92,4,10,9.2,0.2222222222222232,135.72760073048389,7.885593220338983,False,True,False
10,9,1,101,5,9,9.181818181818182,-1.0333333333333332,144.06557552417627,9.831858407079647,False,True,False
11,4,0,105,5,8,8.75,-3.1818181818181817,98.47136222910217,7.885593220338983,False,True,False
12,2,0,107,5,7,8.23076923076923,-2.083333333333333,98.47136222910217,8.095890410958905,False,True,False
13,6,0,113,5,6,8.071428571428571,-3.73076923076923,98.47136222910217,7.885593220338983,False,True,False
14,1,1,114,6,5,7.6,-4.071428571428571,113.46558781847294,8.095890410958905,False,True,False
15,0,1,114,7,4,7.125,-5.1,139.11918258971477,7.885593220338983,False,False,True
16,10,0,124,7,3,7.294117647058823,-5.791666666666666,136.95175438596493,8.095890410958905,False,False,True
17,11,0,135,7,2,7.5,-4.627450980392156,136.95175438596493,9.831858407079647,False,False,True
18,9,1,144,8,1,7.578947368421052,-1.0,108.30797231173172,8.544117647058824,False,False,True
19,5,1,149,9,0,7.45,1.9210526315789478,76.72902494331066,9.831858407079647,False,False,True
